区分,分類,認定（計,教育標準時間認定,満3歳以上・保育認定,教諭（計,教諭,認定（計）/教諭（計）
愛知県,中都市,1326,1225,101,109,15,12.17
愛媛県,,7162,6640,522,577,134,12.41
茨城県,,1333,1096,237,83,58,16.06
岡山県,,4186,2788,1398,248,197,16.88
沖縄県,,6846,6294,552,401,253,17.07
岩手県,中都市,714,690,24,41,28,17.41
岐阜県,,7275,6882,393,414,99,17.57
宮崎県,,10444,8546,1898,540,439,19.34
宮城県,,5603,4419,1184,278,108,20.15
京都府,,3042,1874,1168,150,107,20.28
熊本県,,2702,1998,704,131,92,20.63
群馬県,中都市,2493,1944,549,119,101,20.95
広島県,中都市,1395,1230,165,66,－,21.14
香川県,中都市,6118,5300,818,275,31,22.25
高知県,,15414,15221,193,685,419,22.50
佐賀県,,6446,4891,1555,277,213,23.27
埼玉県,,5852,4272,1580,246,202,23.79
三重県,中都市,2955,2232,723,124,93,23.83
山形県,中都市,1965,1024,941,82,31,23.96
山口県,,14693,12629,2064,595,295,24.69
山梨県,,15029,14102,927,586,389,25.65
滋賀県,,21463,20938,525,792,342,27.10
鹿児島県,,6025,4499,1526,220,184,27.39
秋田県,,52158,48520,3638,1847,1450,28.24
新潟県,,31612,28233,3379,1114,764,28.38
神奈川県,,5744,5277,467,199,74,28.86
青森県,中都市,3362,3240,122,110,66,30.56
静岡県,,7078,6522,556,227,83,31.18
石川県,,7597,6682,915,243,144,31.26
千葉県,中都市,1559,951,608,48,27,32.48
大阪府,,9075,8838,237,274,100,33.12
大分県,,57303,51500,5803,1708,1123,33.55
長崎県,,51131,50572,559,1467,1124,34.85
長野県,,16907,15986,921,476,359,35.52
鳥取県,,75495,72022,3473,2066,1725,36.54
島根県,,2668,2117,551,73,44,36.55
東京都,,14924,14376,548,406,210,36.76
徳島県,,26504,23623,2881,704,460,37.65
栃木県,,63169,61677,1492,1661,1280,38.03
奈良県,,12111,11483,628,317,122,38.21
富山県,,43733,40946,2787,1142,786,38.30
福井県,,99527,95437,4090,2506,1533,39.72
福岡県,,3000,2264,736,73,44,41.10
福島県,,3646,2488,1158,84,51,43.40
兵庫県,中都市,3558,3558,－,79,5,45.04
北海道,,8667,8201,466,186,47,46.60
和歌山県,,6959,5804,1155,137,64,50.80
